"N","Diversity_TDSPD","Diversity_local_maximum","Diversity_local_maximum_rep","Mean_Diversity_Random_Init","Time_TDSPD","Time_local_maximum","Time_local_maximum_rep"
90,3925.00000883765,3921.51367719397,3924.28763170317,3869.18375284618,0.0799999999999272,0.00999999999930878,0.170000000000073
90,3925.00000883765,3921.51367719397,3924.28763170317,3869.18375284618,0.0700000000006185,0.0199999999995271,0.1899999999996
450,100142.740192467,100138.82664051,100141.723815794,99752.4511667462,1.45000000000073,0.869999999999891,60.75
900,403320.254909564,403312.928775256,403319.13984741,402626.028384532,10.1899999999996,14.2200000000003,2413.2
